institute_std,subscription_start_month,class_bundle_signature,class_count,learner_count,core_subject_count,bundle_confidence
ADA RURAL BANK LTD.,2025-11,520|521|524|528|531,5,1,4,LOW
ADA RURAL BANK LTD.,2026-04,520|521|531,3,1,3,LOW
ADA RURAL BANK LTD.,2026-04,520|524,2,3,2,LOW
ADA RURAL BANK LTD.,2026-04,520|524|531,3,3,3,LOW
ADA RURAL BANK LTD.,2026-04,520|531,2,1,2,LOW
ADA RURAL BANK LTD.,2026-06,580,1,41,1,LOW
ADA RURAL BANK LTD.,,255|356|522|531|533,5,1,4,LOW
ADA RURAL BANK LTD.,,261|288|348|358|368|535|580,7,1,4,LOW
ADA RURAL BANK LTD.,,356,1,1,1,LOW
ADA RURAL BANK LTD.,,522|526|528|531|533,5,1,4,LOW
ADANSI RURAL BANK LIMITED,2025-04,344|590,2,1,2,LOW
ADANSI RURAL BANK LIMITED,2025-05,339,1,1,1,LOW
ADANSI RURAL BANK LIMITED,2025-08,520,1,1,1,LOW
ADANSI RURAL BANK LIMITED,2025-11,520,1,39,1,LOW
ADANSI RURAL BANK LIMITED,2025-11,520|525,2,1,2,LOW
ADANSI RURAL BANK LIMITED,2026-04,520,1,38,1,LOW
ADANSI RURAL BANK LIMITED,2026-06,580,1,21,1,LOW
ADANSI RURAL BANK LIMITED,,218|237|267,3,1,3,LOW
ADANSI RURAL BANK LIMITED,,267,1,1,1,LOW
ADANSI RURAL BANK LIMITED,,339|434|580,3,1,3,LOW
ADANSI RURAL BANK LIMITED,,356|360|526|531|534,5,1,4,LOW
ADANSI RURAL BANK LIMITED,,530,1,1,1,LOW
ADANSI RURAL BANK LTD.,2025-08,356,1,1,1,LOW
ADANSI RURAL BANK LTD.,2025-11,520,1,75,1,LOW
ADANSI RURAL BANK LTD.,2026-04,520,1,71,1,LOW
ADANSI RURAL BANK LTD.,2026-04,520|525,2,1,2,LOW
ADANSI RURAL BANK LTD.,2026-04,520|527,2,1,2,LOW
ADANSI RURAL BANK LTD.,2026-06,580,1,57,1,LOW
ADANSI RURAL BANK LTD.,,356|520,2,1,2,LOW
ADANSI RURAL BANK LTD.,,363,1,1,1,LOW
ADANSI RURAL BANK LTD.,,520,1,7,1,LOW
ADANSI RURAL BANK LTD.,,531,1,1,1,LOW
ADISADEL COLLAGE,,262,1,1,1,LOW
ADOM FOUNDATION FOR CHILD CARE,2024-12,253|254|255|256,4,51,4,MEDIUM
ADONTEN COMMUNITY BANK LTD.,2023-08,520,1,2,1,LOW
ADONTEN COMMUNITY BANK LTD.,2024-01,520|521|522|523|524|525|526|527|528|529|530|531|532|533|534,15,11,4,LOW
ADONTEN COMMUNITY BANK LTD.,2025-05,339,1,1,1,LOW
ADONTEN COMMUNITY BANK LTD.,2025-08,356|520|527,3,1,3,LOW
ADONTEN COMMUNITY BANK LTD.,2025-11,520,1,20,1,LOW
ADONTEN COMMUNITY BANK LTD.,2025-11,520|521|522|523|525|527|531|532|533,9,1,4,LOW
ADONTEN COMMUNITY BANK LTD.,2025-11,520|527,2,1,2,LOW
ADONTEN COMMUNITY BANK LTD.,2026-06,580,1,21,1,LOW
ADONTEN COMMUNITY BANK LTD.,,520,1,9,1,LOW
ADONTEN COMMUNITY BANK LTD.,,520|522|526|530|531|533,6,1,4,LOW
AFB Letshego,2022-12,70,1,1,1,LOW
AFB Letshego,2025-12,70,1,1,1,LOW
AFIA KOBI SHS,,259,1,1,1,LOW
AFRAM RURAL BANK LTD.,2025-08,356|521|522|527|529|531|532,7,1,4,LOW
AFRAM RURAL BANK LTD.,2025-08,356|527,2,1,2,LOW
AFRAM RURAL BANK LTD.,2025-08,520,1,1,1,LOW
AFRAM RURAL BANK LTD.,2025-08,526|528,2,1,2,LOW
AFRAM RURAL BANK LTD.,2026-01,522,1,1,1,LOW
AFRAM RURAL BANK LTD.,2026-01,526,1,1,1,LOW
AFRAM RURAL BANK LTD.,2026-01,526|534,2,1,2,LOW
AFRAM RURAL BANK LTD.,2026-02,520,1,11,1,LOW
AFRAM RURAL BANK LTD.,2026-02,520|522,2,1,2,LOW
AFRAM RURAL BANK LTD.,2026-03,520|527,2,1,2,LOW
AFRAM RURAL BANK LTD.,2026-03,527,1,1,1,LOW
AFRAM RURAL BANK LTD.,2026-03,530,1,1,1,LOW
AFRAM RURAL BANK LTD.,2026-04,520,1,12,1,LOW
AFRAM RURAL BANK LTD.,2026-04,526,1,1,1,LOW
AFRAM RURAL BANK LTD.,2026-06,580,1,13,1,LOW
AFRAM RURAL BANK LTD.,,196|258,2,1,2,LOW
AFRAM RURAL BANK LTD.,,257,1,1,1,LOW
AFRAM RURAL BANK LTD.,,259,1,1,1,LOW
AFRAM RURAL BANK LTD.,,356,1,1,1,LOW
AFRAM RURAL BANK LTD.,,356|522|523|531,4,1,4,LOW
AFRAM RURAL BANK LTD.,,520,1,1,1,LOW
AFRAM RURAL BANK LTD.,,520|522|531,3,1,3,LOW
AFRAM RURAL BANK LTD.,,528,1,2,1,LOW
AFRAM RURAL BANK LTD.,,580,1,2,1,LOW
AFRAM RURAL BANK LTD.,,580|635,2,1,2,LOW
AGA,,277|331,2,1,2,LOW
AGAVE RURAL BANK LTD.,2023-08,520,1,2,1,LOW
AGAVE RURAL BANK LTD.,2024-01,520|521|522|523|524|525|526|527|528|529|530|531|532|533|534,15,2,4,LOW
AGAVE RURAL BANK LTD.,2024-04,521|522|523|524|525|526|527|528|529|530|531|532|533|534,14,6,4,LOW
AGAVE RURAL BANK LTD.,2025-08,520|527,2,1,2,LOW
AGAVE RURAL BANK LTD.,2026-04,520,1,2,1,LOW
AGAVE RURAL BANK LTD.,2026-06,580,1,2,1,LOW
AGAVE RURAL BANK LTD.,,218,1,1,1,LOW
AGAVE RURAL BANK LTD.,,267,1,1,1,LOW
AGAVE RURAL BANK LTD.,,356,1,1,1,LOW
AGAVE RURAL BANK LTD.,,524|526,2,1,2,LOW
AGAVE RURAL BANK LTD.,,525|528,2,1,2,LOW
AGAVE RURAL BANK LTD.,,528,1,1,1,LOW
AGAVE RURAL BANK LTD.,,580,1,1,1,LOW
AGAVE RURAL BANK PLC,,224|288|586,3,1,3,LOW
AGONA RURAL BANK LTD.,2023-08,520,1,3,1,LOW
AGONA RURAL BANK LTD.,2024-01,520|521|522|523|524|525|526|527|528|529|530|531|532|533|534,15,5,4,LOW
AGONA RURAL BANK LTD.,2025-04,520|521|528|530|531|534,6,69,4,MEDIUM
AGONA RURAL BANK LTD.,2025-11,520,1,50,1,LOW
AGONA RURAL BANK LTD.,2026-06,580,1,51,1,LOW
AGONA RURAL BANK LTD.,,520,1,1,1,LOW
AGONA RURAL BANK LTD.,,530,1,1,1,LOW
AHAFO ANO PREMIER RURAL BANK L,2025-04,520,1,3,1,LOW
AHAFO ANO PREMIER RURAL BANK L,2026-06,580,1,2,1,LOW
AHAFO ANO PREMIER RURAL BANK L,,348,1,1,1,LOW
AHAFO ANO PREMIER RURAL BANK LTD,2024-04,521|522|523|524|525|526|527|528|529|530|531|532|533|534,14,1,4,LOW
AHAFO ANO PREMIER RURAL BANK LTD,2025-04,520,1,9,1,LOW
