institute_std,learner_count,active_learner_count,class_count,attempt_count,avg_cas_proxy_score_pct,ready_subject_count,at_risk_subject_count,missing_institute_excluded_count,evidence_level,dq_warning_count
Abutia Teti ep jhs,2,1,2,9,65.95,1,0,0,LOW,4
Abutia teti EP jhs,3,1,3,7,46.663333333333334,0,2,0,VERY_LOW,2
Accelerex Ghana,1,1,1,1,89.34,1,0,0,VERY_LOW,0
Accellus Academy,1,1,1,1,52.0,0,1,0,VERY_LOW,1
Accra,2,2,2,2,55.69,0,0,0,VERY_LOW,2
Accra Academy,7,4,5,8,46.257999999999996,0,3,0,VERY_LOW,7
Accra Girls,1,1,1,1,72.0,1,0,0,VERY_LOW,1
Accra Girls' senior high,1,1,1,1,68.0,0,0,0,VERY_LOW,1
Accra Polytechnic,1,1,1,8,94.24,1,0,0,LOW,6
Accra Senior High,4,1,4,7,68.495,1,2,0,VERY_LOW,7
Accra Technical Training Centre,1,1,1,1,46.0,0,1,0,VERY_LOW,1
Accra Technical Universit,1,1,1,1,38.0,0,1,0,VERY_LOW,1
Accra Wesley Girls,1,1,1,1,96.8,1,0,0,VERY_LOW,1
Accra Wesley girl’s,3,1,3,4,55.24666666666667,1,2,0,VERY_LOW,4
Accra academy,2,1,2,2,80.0,2,0,0,VERY_LOW,1
Accra high,1,2,1,13,77.02,1,0,0,LOW,13
Accra high school SHS 1,12,1,12,27,69.26166666666667,6,4,0,VERY_LOW,27
Acellus,1,1,1,1,34.4,0,1,0,VERY_LOW,1
Acellus Academy,3,2,2,3,53.0,0,2,0,VERY_LOW,3
Acellus academy,3,3,3,3,76.0,2,1,0,VERY_LOW,2
Achimota,3,4,3,3,63.333333333333336,1,1,0,VERY_LOW,3
Achimota Basic School,1,1,1,1,36.0,0,1,0,VERY_LOW,1
Achimota Basic school,2,1,2,2,76.0,1,0,0,VERY_LOW,0
Achimota School,11,10,9,16,75.09333333333333,6,1,0,VERY_LOW,15
Achimota Senior High School,1,1,1,1,50.4,0,1,0,VERY_LOW,1
Achimota Snr High,1,1,1,1,52.0,0,1,0,VERY_LOW,1
Achimota school,6,5,3,7,57.10999999999999,1,1,0,VERY_LOW,7
Achimota shs,2,1,2,3,79.4,2,0,0,VERY_LOW,3
Achimotaschool,1,1,1,1,88.0,1,0,0,VERY_LOW,1
Acimota Senior High Schoo,1,1,1,1,100.0,1,0,0,VERY_LOW,1
Ada Rural Bank,1,1,1,1,78.66,1,0,0,VERY_LOW,0
Ada rural Bank plc,1,1,1,1,70.66,1,0,0,VERY_LOW,1
Ada senior high technical,1,1,1,1,38.0,0,1,0,VERY_LOW,1
Adansi Community Bank,1,1,1,1,89.34,1,0,0,VERY_LOW,1
Adansi Rural Bank Plc,1,1,1,2,97.33,1,0,0,VERY_LOW,1
Adenta New Site,2,1,2,2,46.0,0,2,0,VERY_LOW,1
Adiembra Senior High School,1,1,1,1,78.0,1,0,0,VERY_LOW,1
Adisadel College,1,1,1,1,26.0,0,1,0,VERY_LOW,1
Adonten senior high,1,1,1,1,90.0,1,0,0,VERY_LOW,1
Adukrom Presby JHS,1,1,1,1,84.76,1,0,0,VERY_LOW,1
Adventist senior high,1,1,1,1,68.0,0,0,0,VERY_LOW,1
Afb,1,1,1,7,95.54,1,0,0,LOW,5
Afia Kobi Serwaa Ampem shs,1,1,1,1,36.0,0,1,0,VERY_LOW,1
Afram Community bank,1,1,1,1,97.34,1,0,0,VERY_LOW,1
Aggrey Memorial,1,1,1,1,32.0,0,1,0,VERY_LOW,1
Aggrey memorial,4,2,4,8,49.18,0,2,0,VERY_LOW,8
Agis,1,1,1,1,47.2,0,1,0,VERY_LOW,1
Agona Rural Bank Plc,1,1,1,1,97.34,1,0,0,VERY_LOW,1
Agona SDA Senior high school,1,1,1,1,52.0,0,1,0,VERY_LOW,1
Agona serious high school,1,1,1,1,48.8,0,1,0,VERY_LOW,1
Ahafo community bank PLC,1,1,1,1,86.66,1,0,0,VERY_LOW,0
Ahanataman rural bank,1,1,1,2,97.33,1,0,0,VERY_LOW,1
Ahantaman,1,1,1,2,70.66,1,0,0,VERY_LOW,1
Ahantaman Community Bank PLC,1,1,1,1,86.66,1,0,0,VERY_LOW,0
Ahantaman Rural Bank,2,2,1,2,88.0,1,0,0,VERY_LOW,1
Ahantaman Rural Bank Plc,1,1,1,1,92.0,1,0,0,VERY_LOW,1
Ahantaman Rural banks,1,1,1,2,97.34,1,0,0,VERY_LOW,1
Ahantaman community bank plc,1,1,1,1,86.66,1,0,0,VERY_LOW,1
Ahantaman rural bank,1,1,1,2,86.66,1,0,0,VERY_LOW,1
Akim Bosome Community Bank,8,8,1,8,93.33,1,0,0,LOW,4
