institute_norm,institute_standardized,institute_std_method,institute_std_source
yilo krobo senior high,Yilo Krobo Senior High,normalized_only,normalized_only
amanano rural bank ltd,amanano rural bank,manual_map,fuzzy_confirmed
agave rural bank,agave rural bank,manual_map,fuzzy_confirmed
tusk foundation,Tusk Foundation,normalized_only,normalized_only
savannah hydraulic,Savannah Hydraulic,normalized_only,normalized_only
mponua rural bank ltd,mponua rural bank,manual_map,fuzzy_confirmed
progress christian academy,Progress Christian Academy,normalized_only,normalized_only
learn,Learn,normalized_only,normalized_only
nifa senior high school,Nifa Senior High School,normalized_only,normalized_only
harmony school,Harmony School,normalized_only,normalized_only
fatimah virtue educational complex,Fatimah Virtue Educational Complex,normalized_only,normalized_only
denkyiraman rural bank ltd,denkyiraman rural bank,manual_map,fuzzy_confirmed
lake mary high school,Lake Mary High School,normalized_only,normalized_only
universite paris saclay,Universite Paris Saclay,normalized_only,normalized_only
jun noo int school,Jun Noo Int School,normalized_only,normalized_only
ga rural bank limited,ga rural bank,manual_map,fuzzy_confirmed
adonten community bank ltd,Adonten Community Bank Ltd,normalized_only,normalized_only
yaa asantewaa rural bank ltd,Yaa Asantewaa Rural Bank Ltd,normalized_only,normalized_only
nursing training college,Nursing Training College,normalized_only,normalized_only
mawunyo academy,Mawunyo Academy,normalized_only,normalized_only
atwima mponua rural bank ltd,atwima mponua rural bank,manual_map,fuzzy_confirmed
adansi rural bank ltd,adansi rural bank,manual_map,fuzzy_confirmed
del unique academy,Del Unique Academy,normalized_only,normalized_only
yesu mmo preparatory sch,Yesu Mmo Preparatory Sch,normalized_only,normalized_only
mest,Mest,normalized_only,normalized_only
derma rural bank ltd,derma rural bank,manual_map,fuzzy_confirmed
maltaaba community bank ltd,maltaaba community bank,manual_map,fuzzy_confirmed
enyan denkyira rural bank ltd,enyan denkyira,manual_map,fuzzy_confirmed
abutia teti r c jhs,Abutia Teti R C Jhs,normalized_only,normalized_only
microfin rural bank ltd,microfin rural bank,manual_map,fuzzy_confirmed
university,University,normalized_only,normalized_only
monmouth university,Monmouth University,normalized_only,normalized_only
